2014-10-29 12:02:59,;.?40490600473,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600473', 1, 3, '[RF] Tool Option Write', 'NG',40.6,'-', 1, 650033) 
2014-10-29 12:05:22,;.?40490600473,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600473', 1, 3, '[RF] Tool Option Write', 'NG',107.2,'-', 1, 650033) 
2014-10-29 12:35:28,;.?40490600692,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600692', 1, 24, 'USB3 TEST', 'NG',154.0,'b 01 OK20x , NG 3 4 ', 1, 650033) 
2014-10-29 12:44:47,;.?40490600695,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600695', 1, 21, 'Key2 Test', 'NG',172.2,'Key Check , i 01 NG92x', 1, 650033) 
2014-10-29 13:06:53,;.?40490600695,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600695', 1, 21, 'Key2 Test', 'NG',54.1,'Key Check , i 01 NG92x', 1, 650033) 
2014-10-29 13:49:13,;.?40490600766,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600766', 1, 24, 'USB3 TEST', 'NG',67.8,'b 01 OK20x , NG 3 2 ', 1, 650033) 
2014-10-29 13:59:36,;.?40490600778,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600778', 1, 24, 'USB3 TEST', 'NG',74.9,'b 01 OK20x , NG 3 4 ', 1, 650033) 
2014-10-29 14:24:39,;.?40490600808,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600808', 1, 24, 'USB3 TEST', 'NG',152.3,'b 01 OK20x , NG 3 4 ', 1, 650033) 
2014-10-29 14:28:21,;.?40490600815,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600815', 1, 24, 'USB3 TEST', 'NG',49.6,'b 01 OK20x , NG 3 2 ', 1, 650033) 
2014-10-29 14:31:52,;.?40490600818,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40490600818', 1, 24, 'USB3 TEST', 'NG',42.6,'b 01 OK20x , NG 3 2 ', 1, 650033) 
